,Date,Time,CO,Benzene,NO2,Temperature,Humidity(%),Traffic_Volume,Particulate_Matter
3890,19.08.04,7:00:00,1.4,7.8,56,27.6,52.1,,
4312,06.09.04,6:00:00,0.7,3.1,-200,23.7,49.2,,
6482,05.12.04,15:00:00,1.8,7.7,86,12.0,80.8,,
8422,24.02.05,16:00:00,3.0,13.3,267,7.6,70.8,,
1323,04.05.04,20:00:00,5.4,20.8,132,16.1,75.2,46.42541503,145.8477259
5739,04.11.04,19:00:00,5.8,33.0,124,22.2,63.7,,
6594,10.12.04,12:00:00,1.5,6.2,110,17.1,23.5,,
8555,02.03.05,5:00:00,0.4,0.9,73,-1.3,46.3,,
2387,18.06.04,1:00:00,1.0,6.0,81,23.5,48.3,,
2675,30.06.04,6:00:00,0.9,7.4,61,26.4,53.1,,
3343,28.07.04,4:00:00,-200.0,3.2,65,20.5,41.2,,
1491,11.05.04,20:00:00,5.0,26.1,159,21.1,40.2,127.8988638,65.38487565
490,31.03.04,1:00:00,1.0,2.7,64,14.8,40.8,78.57439391,103.34195679999999
2008,02.06.04,15:00:00,-200.0,6.8,37,31.8,31.0,,
4170,31.08.04,20:00:00,2.0,10.3,87,26.2,47.8,,
5860,09.11.04,11:00:00,-200.0,20.4,-200,11.1,48.8,,
7621,22.01.05,22:00:00,2.1,16.9,215,8.4,36.5,,
8644,05.03.05,20:00:00,2.6,10.9,185,7.8,63.4,,
8514,28.02.05,7:00:00,0.4,0.7,66,2.5,52.7,,
5693,02.11.04,20:00:00,9.2,48.2,119,20.9,67.5,,
2392,18.06.04,15:00:00,2.1,12.6,126,37.3,21.9,,
1314,04.05.04,14:00:00,2.4,12.1,105,20.4,54.0,52.03171828,125.8586662
4426,11.09.04,6:00:00,-200.0,4.0,-200,20.7,48.4,,
3286,25.07.04,1:00:00,0.9,3.7,52,23.8,63.5,,
5056,07.10.04,15:00:00,-200.0,12.7,-200,27.2,40.7,,
7483,16.01.05,9:00:00,1.7,6.3,130,6.1,50.3,,
6013,16.11.04,7:00:00,0.9,3.3,119,10.1,44.0,,
4295,05.09.04,19:00:00,1.7,7.0,-200,29.3,20.4,,
3663,10.08.04,16:00:00,1.2,6.7,88,39.8,25.4,,
6251,26.11.04,2:00:00,2.1,8.1,98,8.9,71.8,,
902,17.04.04,6:00:00,-200.0,5.1,-200,12.6,79.9,186.67129219999998,220.82965269999997
5979,14.11.04,20:00:00,1.1,3.0,106,9.1,49.6,,
845,14.04.04,8:00:00,5.0,27.7,99,13.3,55.6,148.3307969,164.9711628
2698,01.07.04,6:00:00,0.9,6.4,60,24.4,55.2,,
3189,21.07.04,21:00:00,2.9,15.3,120,31.2,33.2,,
4748,24.09.04,16:00:00,2.7,14.5,96,24.9,49.2,,
3174,21.07.04,4:00:00,-200.0,2.7,34,26.3,40.9,,
3392,30.07.04,6:00:00,-200.0,4.9,48,23.0,49.9,,
4165,31.08.04,14:00:00,2.9,8.9,-200,32.5,28.7,,
5505,26.10.04,2:00:00,1.0,5.5,48,15.5,78.5,,
1883,28.05.04,6:00:00,-200.0,8.2,-200,14.9,54.8,,
3284,25.07.04,11:00:00,0.9,3.6,66,27.6,43.7,,
3253,24.07.04,22:00:00,1.1,5.0,57,27.3,45.7,,
4725,23.09.04,20:00:00,3.3,16.9,148,26.2,48.7,,
5173,12.10.04,20:00:00,-200.0,6.0,-200,15.4,57.7,,
1487,11.05.04,10:00:00,4.5,22.6,163,21.9,35.2,123.9544768,62.711357400000004
2662,29.06.04,10:00:00,2.7,15.3,132,32.4,32.3,,
6660,13.12.04,7:00:00,1.5,6.8,106,5.6,68.9,,
4632,19.09.04,12:00:00,2.2,11.0,129,32.2,24.7,,
8473,26.02.05,21:00:00,3.5,8.1,161,7.2,56.7,,
1114,26.04.04,1:00:00,0.7,2.2,43,14.2,45.5,178.0583892,205.1492065
4870,29.09.04,12:00:00,3.4,19.6,179,27.2,30.4,,
7058,29.12.04,0:00:00,-200.0,2.9,-200,8.7,83.0,,
8946,18.03.05,15:00:00,2.3,12.9,177,25.9,21.9,,
7645,23.01.05,10:00:00,-200.0,6.4,162,5.0,47.5,,
859,15.04.04,14:00:00,4.0,19.5,129,19.2,35.7,123.2808672,144.4866854
6401,02.12.04,10:00:00,4.4,19.2,145,14.3,66.1,,
1966,31.05.04,16:00:00,1.8,15.7,128,28.1,29.8,,
6245,25.11.04,17:00:00,4.0,21.8,187,15.4,41.3,,
4121,29.08.04,8:00:00,-200.0,4.8,-200,22.7,58.1,,
1003,21.04.04,22:00:00,-200.0,10.6,-200,19.2,42.1,182.6202199,208.2240528
8736,09.03.05,18:00:00,3.8,17.8,168,14.6,41.0,,
7388,12.01.05,13:00:00,3.8,17.7,185,14.7,52.3,,
5054,07.10.04,22:00:00,1.7,11.0,73,21.8,58.2,,
8862,15.03.05,4:00:00,0.5,1.1,58,11.6,61.0,,
7286,08.01.05,8:00:00,2.3,10.0,113,6.7,77.1,,
5559,28.10.04,6:00:00,1.6,10.0,61,15.5,77.2,,
6790,18.12.04,5:00:00,1.3,6.1,90,10.8,80.0,,
1017,22.04.04,2:00:00,-200.0,3.0,-200,16.0,53.5,180.81606269999997,205.5651743
6985,26.12.04,17:00:00,2.1,6.9,129,13.6,68.9,,
4458,12.09.04,11:00:00,-200.0,5.6,-200,30.1,38.5,,
876,16.04.04,1:00:00,1.9,6.7,93,13.4,69.6,142.96482369999998,161.15598319999998
1375,07.05.04,3:00:00,0.6,2.4,-200,13.9,67.7,33.11350706,126.96164579999999
4266,04.09.04,23:00:00,2.6,13.3,-200,29.6,24.3,,
5666,01.11.04,0:00:00,3.2,15.9,69,20.1,71.3,,
7455,15.01.05,9:00:00,2.6,10.9,142,4.0,78.5,,
1240,01.05.04,15:00:00,1.8,9.2,82,26.1,30.3,34.69392642,143.1215757
7629,22.01.05,8:00:00,0.8,15.6,196,6.3,78.8,,
3742,13.08.04,22:00:00,1.2,5.1,74,26.6,50.4,,
6704,15.12.04,10:00:00,4.9,-200.0,167,-200.0,-200.0,,
7338,10.01.05,19:00:00,3.1,16.4,128,13.8,66.4,,
5936,13.11.04,2:00:00,1.0,2.7,75,15.7,59.5,,
4237,03.09.04,0:00:00,-200.0,9.6,-200,26.4,44.0,,
4644,20.09.04,0:00:00,1.1,5.7,79,22.7,53.8,,
1506,12.05.04,19:00:00,3.4,14.8,123,17.6,43.7,130.1130949,62.37557865
2609,27.06.04,16:00:00,1.2,6.9,90,42.2,14.2,,
6853,21.12.04,1:00:00,1.5,4.3,127,6.4,35.8,,
4859,29.09.04,1:00:00,0.9,4.1,71,16.3,56.8,,
7144,02.01.05,3:00:00,1.3,4.5,-200,3.1,70.0,,
7247,06.01.05,17:00:00,1.9,7.7,134,15.6,54.8,,
9276,01.04.05,0:00:00,0.7,1.5,61,15.1,44.5,,
3751,14.08.04,3:00:00,0.4,1.7,-200,25.0,56.0,,
6359,30.11.04,8:00:00,2.5,11.0,127,12.3,78.9,,
8437,25.02.05,16:00:00,2.0,7.9,150,12.6,38.5,,
8548,01.03.05,19:00:00,2.1,7.5,148,1.8,35.4,,
6940,24.12.04,14:00:00,7.9,22.9,217,10.5,51.1,,
8198,15.02.05,14:00:00,1.4,4.8,135,12.0,19.3,,
6058,18.11.04,6:00:00,1.4,6.6,122,6.1,76.7,,
9302,02.04.05,21:00:00,0.8,1.8,87,13.5,39.4,,
6214,24.11.04,8:00:00,3.8,18.7,114,9.8,80.5,,
7320,09.01.05,12:00:00,1.9,8.1,127,15.0,56.2,,
6078,19.11.04,22:00:00,2.6,3.6,120,13.4,14.3,,
124,15.03.04,9:00:00,8.1,36.7,149,14.8,54.3,46.42516608,52.97539341
5052,07.10.04,23:00:00,1.7,10.8,60,20.9,61.3,,
7829,30.01.05,23:00:00,1.3,3.5,130,4.0,39.0,,
4722,23.09.04,10:00:00,2.4,14.8,118,26.3,48.1,,
9251,31.03.05,2:00:00,0.7,2.5,64,13.9,68.7,,
6546,08.12.04,14:00:00,2.3,6.9,98,17.3,53.3,,
1822,25.05.04,16:00:00,-200.0,12.0,-200,32.3,10.0,,
4321,06.09.04,17:00:00,2.3,11.7,-200,29.6,27.5,,
8441,25.02.05,7:00:00,1.4,6.1,175,5.3,80.2,,
6972,26.12.04,22:00:00,1.0,3.8,106,11.8,77.5,,
4789,26.09.04,14:00:00,0.9,4.2,54,22.1,30.5,,
4156,30.08.04,7:00:00,-200.0,23.3,-200,22.6,60.3,,
1234,01.05.04,14:00:00,1.3,6.5,68,24.8,34.8,52.07989588,175.75108459999998
493,31.03.04,6:00:00,1.0,3.5,93,14.4,38.5,78.07882366,116.2746152
2275,13.06.04,18:00:00,1.0,2.9,68,20.7,43.4,,
9223,30.03.05,4:00:00,0.4,1.4,56,11.5,71.5,,
9325,03.04.05,14:00:00,1.0,4.2,87,28.5,13.1,,
4534,15.09.04,9:00:00,-200.0,17.8,-200,22.5,68.9,,
5502,26.10.04,4:00:00,-200.0,4.3,42,15.0,77.9,,
7880,02.02.05,14:00:00,2.2,10.1,133,13.7,19.9,,
7571,20.01.05,6:00:00,0.9,2.9,93,7.0,57.6,,
4317,06.09.04,10:00:00,1.3,5.7,-200,27.6,34.2,,
8258,17.02.05,9:00:00,2.7,10.6,202,7.7,42.1,,
1063,24.04.04,4:00:00,-200.0,3.8,60,16.9,49.8,184.9994519,207.40670409999998
6142,21.11.04,1:00:00,1.5,9.7,196,4.9,53.0,,
7119,01.01.05,15:00:00,2.2,7.9,147,12.5,32.3,,
8641,05.03.05,23:00:00,1.9,7.0,152,6.5,73.9,,
9194,28.03.05,20:00:00,2.9,9.4,157,17.6,54.4,,
5757,05.11.04,19:00:00,3.6,22.4,105,20.3,61.4,,
380,26.03.04,13:00:00,2.3,12.5,99,19.1,26.2,78.18266247,109.27274320000001
1979,01.06.04,0:00:00,0.3,4.7,45,18.6,75.7,,
4066,27.08.04,19:00:00,2.3,-200.0,116,-200.0,-200.0,,
7266,07.01.05,9:00:00,3.0,15.3,125,6.3,77.4,,
2804,05.07.04,16:00:00,1.8,11.1,132,40.1,16.1,,
5144,11.10.04,4:00:00,0.4,1.9,29,17.9,77.7,,
889,16.04.04,14:00:00,4.6,18.9,148,14.5,75.7,133.1289751,147.20359399999998
5213,13.10.04,17:00:00,-200.0,11.2,-200,15.2,55.9,,
8709,08.03.05,11:00:00,3.0,12.3,215,10.9,25.7,,
8754,10.03.05,7:00:00,1.3,6.4,100,4.3,76.1,,
6380,01.12.04,12:00:00,3.5,17.1,182,13.8,63.6,,
694,08.04.04,11:00:00,2.4,12.7,112,19.3,34.2,154.3364681,168.55493280000002
2033,03.06.04,12:00:00,-200.0,11.1,-200,26.2,33.6,,
5071,08.10.04,3:00:00,0.7,3.3,-200,18.7,68.5,,
6857,21.12.04,15:00:00,2.2,7.7,142,8.9,34.5,,
4784,26.09.04,15:00:00,0.9,3.1,69,22.1,29.5,,
7290,08.01.05,12:00:00,2.7,11.2,139,13.5,49.4,,
8260,17.02.05,20:00:00,3.3,12.9,200,7.4,47.2,,
5248,15.10.04,6:00:00,-200.0,10.0,-200,14.6,82.9,,
6726,16.12.04,20:00:00,9.1,-200.0,219,-200.0,-200.0,,
6789,18.12.04,3:00:00,1.3,4.3,-200,12.2,74.5,,
5878,10.11.04,22:00:00,2.2,9.9,148,10.5,70.3,,
1374,07.05.04,5:00:00,0.7,2.8,48,14.6,61.1,56.71665014,159.4681731
5815,08.11.04,5:00:00,0.2,0.4,18,10.8,50.9,,
1669,19.05.04,11:00:00,2.1,11.5,122,27.7,26.3,126.33253020000001,67.74292318
3606,08.08.04,4:00:00,0.6,2.4,33,23.9,61.2,,
2802,05.07.04,12:00:00,2.2,12.2,140,36.2,18.0,,
7604,21.01.05,19:00:00,1.6,20.3,194,12.0,56.5,,
1325,04.05.04,7:00:00,4.5,23.0,109,16.6,78.0,35.79575631,133.3417566
8044,08.02.05,8:00:00,2.1,10.0,224,6.0,46.4,,
452,29.03.04,14:00:00,1.5,5.5,92,17.9,26.8,79.17713708,102.28363809999999
6432,03.12.04,19:00:00,4.9,23.6,128,15.7,72.7,,
2195,10.06.04,0:00:00,1.0,7.6,61,24.1,43.3,,
2924,10.07.04,2:00:00,1.0,6.7,70,21.6,51.9,,
425,28.03.04,4:00:00,1.3,5.1,69,8.3,64.9,81.8817838,112.44194590000001
7403,13.01.05,7:00:00,1.6,8.0,103,7.7,76.8,,
529,01.04.04,9:00:00,4.6,21.0,139,16.2,48.6,81.33702209,109.88040090000001
7771,28.01.05,1:00:00,1.1,2.4,97,3.3,47.4,,
1523,13.05.04,6:00:00,1.0,4.5,85,15.9,55.3,125.74704990000001,60.09942887
7050,29.12.04,17:00:00,-200.0,4.9,-200,11.3,45.4,,
2284,13.06.04,1:00:00,1.0,5.8,53,25.4,45.5,,
3469,02.08.04,6:00:00,0.8,5.6,56,24.6,62.7,,
2768,04.07.04,15:00:00,0.5,4.1,47,39.3,14.5,,
139,16.03.04,18:00:00,3.4,17.8,139,23.9,25.7,33.57399569,54.37017108
9005,20.03.05,20:00:00,4.0,14.8,176,16.0,54.9,,
6748,16.12.04,6:00:00,1.0,-200.0,81,-200.0,-200.0,,
2900,09.07.04,21:00:00,1.7,10.2,112,24.8,36.8,,
7966,05.02.05,1:00:00,1.5,5.1,167,4.9,52.0,,
8508,28.02.05,3:00:00,0.4,0.6,-200,3.9,48.1,,
5551,28.10.04,0:00:00,0.9,4.5,58,16.9,72.0,,
1146,27.04.04,23:00:00,2.0,10.9,108,17.9,43.5,180.4256636,212.95346809999998
2622,28.06.04,5:00:00,0.5,3.1,60,24.0,46.4,,
8392,23.02.05,0:00:00,1.5,4.3,142,4.2,78.2,,
6613,11.12.04,15:00:00,1.7,6.1,109,18.4,19.7,,
3140,19.07.04,20:00:00,-200.0,14.6,131,31.7,28.1,,
1656,18.05.04,9:00:00,3.2,14.6,115,20.3,38.1,116.09632240000002,67.43527835
3192,21.07.04,20:00:00,3.4,18.6,144,33.3,29.9,,
6225,25.11.04,5:00:00,2.2,9.4,94,4.0,85.7,,
2555,25.06.04,14:00:00,1.6,8.3,89,35.5,20.3,,
2708,01.07.04,20:00:00,3.4,16.5,149,30.9,30.4,,
5719,04.11.04,5:00:00,0.5,2.6,40,16.1,73.5,,
3689,11.08.04,1:00:00,1.2,6.6,49,27.2,59.1,,
4384,09.09.04,13:00:00,2.0,13.0,129,35.0,17.3,,
1476,11.05.04,6:00:00,1.4,8.4,64,11.3,70.4,112.7750866,66.11278372
1819,25.05.04,12:00:00,2.1,13.5,114,29.2,9.8,,
6144,21.11.04,13:00:00,1.9,11.2,193,12.2,30.0,,
7890,02.02.05,17:00:00,3.1,13.4,158,13.2,20.4,,
5386,21.10.04,2:00:00,2.0,9.3,77,20.8,71.7,,
6157,22.11.04,1:00:00,1.0,8.2,145,3.9,55.9,,
7427,14.01.05,7:00:00,1.4,7.3,110,5.7,79.3,,
8021,07.02.05,8:00:00,2.3,8.7,246,2.9,49.5,,
2167,09.06.04,3:00:00,0.5,3.8,-200,22.0,50.5,,
8813,12.03.05,20:00:00,2.4,14.1,201,13.2,51.4,,
7413,13.01.05,20:00:00,2.9,13.3,129,11.0,67.1,,
3127,19.07.04,2:00:00,0.1,2.8,51,26.6,33.0,,
800,13.04.04,1:00:00,0.5,1.3,36,10.5,59.9,151.53515380000002,169.65483740000002
4684,21.09.04,7:00:00,5.6,31.4,133,18.2,66.1,,
2421,19.06.04,7:00:00,0.9,5.6,72,23.5,47.6,,
5912,12.11.04,4:00:00,-200.0,1.6,43,13.8,64.0,,
7039,29.12.04,23:00:00,-200.0,2.7,-200,10.2,45.4,,
8673,07.03.05,5:00:00,0.4,0.6,45,4.5,63.1,,
738,10.04.04,6:00:00,1.4,6.0,65,10.8,70.5,124.1358611,144.4108379
7788,29.01.05,2:00:00,0.7,0.8,60,1.9,49.7,,
3359,28.07.04,7:00:00,-200.0,13.6,96,20.9,40.4,,
1379,07.05.04,2:00:00,0.9,3.3,56,13.7,69.4,33.01516728,161.4562166
8642,05.03.05,22:00:00,2.2,7.8,166,6.5,74.7,,
6190,23.11.04,16:00:00,5.3,27.1,186,14.2,67.8,,
5273,16.10.04,1:00:00,-200.0,5.4,-200,14.5,81.3,,
245,20.03.04,19:00:00,3.5,16.6,136,17.4,51.6,25.07783522,60.65116614
4857,29.09.04,3:00:00,0.4,2.0,-200,15.5,58.8,,
1610,16.05.04,20:00:00,2.4,10.6,118,23.7,39.4,121.5799188,61.54640207
3782,15.08.04,3:00:00,0.4,2.2,-200,23.8,57.5,,
5240,15.10.04,2:00:00,-200.0,3.0,-200,14.4,84.6,,
6260,26.11.04,13:00:00,4.9,22.7,196,15.5,56.2,,
8614,04.03.05,12:00:00,3.3,14.9,188,8.6,57.6,,
1373,06.05.04,16:00:00,3.6,14.6,139,12.7,74.2,46.9639129,143.87955
6533,07.12.04,11:00:00,4.1,19.8,155,16.9,54.2,,
2582,26.06.04,15:00:00,1.0,5.6,65,38.4,17.5,,
7165,03.01.05,9:00:00,3.1,-200.0,175,-200.0,-200.0,,
8769,11.03.05,3:00:00,0.8,2.4,90,5.7,50.1,,
1012,21.04.04,19:00:00,-200.0,33.6,-200,23.8,33.7,181.3273041,216.1084548
5068,07.10.04,19:00:00,6.7,37.1,128,24.0,50.6,,
7258,07.01.05,7:00:00,1.0,3.1,69,6.4,76.3,,
8849,14.03.05,15:00:00,1.6,7.7,128,20.0,33.0,,
8007,07.02.05,14:00:00,1.4,5.4,149,12.0,21.9,,
5836,08.11.04,19:00:00,6.6,28.9,-200,10.6,53.4,,
6205,24.11.04,2:00:00,2.3,10.1,106,10.4,80.8,,
4465,12.09.04,17:00:00,-200.0,8.3,-200,28.0,53.2,,
7780,28.01.05,8:00:00,1.6,6.2,167,4.2,48.7,,
5986,15.11.04,1:00:00,0.5,1.1,44,10.6,34.9,,
8000,07.02.05,2:00:00,0.8,1.5,78,4.3,38.1,,
6082,19.11.04,6:00:00,1.0,1.6,45,15.4,55.9,,
2337,16.06.04,2:00:00,0.8,4.0,51,21.3,58.1,,
3586,07.08.04,6:00:00,0.6,3.3,44,22.6,63.4,,
1441,09.05.04,15:00:00,-200.0,7.0,-200,17.7,54.0,125.8032338,64.18208735
6303,28.11.04,2:00:00,-200.0,6.1,-200,10.5,78.6,,
988,20.04.04,7:00:00,-200.0,20.7,-200,11.0,77.4,180.54312009999998,205.9402039
6555,08.12.04,21:00:00,3.5,9.2,121,13.9,76.7,,
3236,23.07.04,20:00:00,2.5,14.8,115,33.1,28.3,,
1690,20.05.04,1:00:00,0.8,5.8,73,18.0,53.0,127.3170108,66.05460585
8284,18.02.05,23:00:00,2.9,11.5,236,5.4,51.8,,
2661,29.06.04,15:00:00,2.5,15.3,141,37.2,25.6,,
1044,23.04.04,0:00:00,-200.0,10.0,-200,17.2,47.9,170.5270247,212.55115640000002
4540,15.09.04,18:00:00,6.1,28.6,170,26.5,50.8,,
7444,14.01.05,18:00:00,5.7,26.1,197,8.2,74.9,,
6177,23.11.04,6:00:00,1.4,7.7,98,8.5,81.1,,
6874,22.12.04,15:00:00,2.1,6.7,121,9.8,30.3,,
7052,29.12.04,21:00:00,-200.0,4.7,-200,10.7,47.7,,
5342,19.10.04,15:00:00,-200.0,15.3,-200,22.8,53.0,,
1254,02.05.04,5:00:00,0.6,2.6,37,14.7,65.2,37.19690534,153.2253246
3858,18.08.04,16:00:00,1.4,7.4,71,36.4,27.1,,
7152,02.01.05,18:00:00,2.8,8.8,166,8.9,54.6,,
978,20.04.04,16:00:00,-200.0,13.7,-200,25.9,26.9,171.77285519999998,216.49240330000003
5821,08.11.04,13:00:00,1.3,6.0,100,13.4,36.3,,
5937,13.11.04,3:00:00,0.8,2.7,-200,15.7,60.1,,
9165,27.03.05,0:00:00,1.6,6.4,102,16.3,65.2,,
6338,29.11.04,12:00:00,5.0,23.0,168,15.3,63.2,,
1716,21.05.04,0:00:00,1.2,6.8,93,20.5,42.0,116.14432839999999,65.68810739
2581,26.06.04,14:00:00,1.0,5.9,69,38.3,15.8,,
1285,03.05.04,0:00:00,1.6,7.1,94,18.0,49.3,41.07839787,143.92930669999998
5141,10.10.04,0:00:00,3.7,17.2,103,24.7,56.9,,
2437,20.06.04,17:00:00,1.4,-200.0,86,-200.0,-200.0,,
178,18.03.04,2:00:00,1.0,5.5,88,14.8,52.1,32.60154449,59.58170112
107,15.03.04,2:00:00,1.8,7.0,88,13.4,61.3,46.74021532,52.77342717
1941,30.05.04,17:00:00,0.5,5.2,83,31.7,16.2,,
5754,05.11.04,20:00:00,2.9,15.9,98,20.0,63.2,,
5154,11.10.04,20:00:00,3.2,16.2,76,19.7,65.1,,
2400,18.06.04,10:00:00,2.5,14.9,142,29.3,34.8,,
6845,20.12.04,0:00:00,3.1,9.7,127,6.8,82.8,,
8037,08.02.05,15:00:00,1.6,5.3,165,13.9,20.7,,
4187,01.09.04,14:00:00,1.7,10.4,93,31.1,28.6,,
28,11.03.04,20:00:00,6.1,24.0,165,9.6,67.8,45.15958535,52.55458219
1157,27.04.04,7:00:00,4.1,23.4,122,15.9,48.5,189.71534269999998,210.9359014
8317,20.02.05,11:00:00,1.0,2.5,94,10.6,45.8,,
6563,09.12.04,7:00:00,0.6,1.3,63,14.6,56.7,,
2384,18.06.04,5:00:00,0.4,2.6,36,21.9,50.1,,
7926,04.02.05,5:00:00,0.4,2.2,80,3.9,65.5,,
5933,12.11.04,19:00:00,5.2,20.8,178,16.7,58.0,,
6513,07.12.04,2:00:00,1.1,3.5,70,13.1,67.4,,
5945,13.11.04,19:00:00,1.9,8.0,118,17.7,51.5,,
2890,09.07.04,18:00:00,2.2,14.0,162,31.0,17.1,,
2462,21.06.04,11:00:00,1.5,7.9,106,29.6,21.0,,
1983,01.06.04,15:00:00,1.5,12.4,78,24.6,47.5,,
3810,16.08.04,11:00:00,1.4,7.4,106,35.3,17.0,,
6069,18.11.04,16:00:00,3.8,17.4,212,18.3,51.0,,
8039,08.02.05,13:00:00,1.5,6.9,158,12.7,27.4,,
8950,18.03.05,11:00:00,3.1,14.9,187,18.8,33.5,,
2309,14.06.04,17:00:00,2.7,12.2,92,24.2,39.2,,
7466,15.01.05,21:00:00,3.6,14.7,168,6.5,67.6,,
721,09.04.04,2:00:00,1.0,-200.0,83,-200.0,-200.0,137.4343698,157.5590592
877,16.04.04,12:00:00,2.4,10.5,100,19.2,42.7,157.39419109999997,151.4989208
8160,13.02.05,4:00:00,2.8,12.5,140,8.9,81.3,,
4211,02.09.04,1:00:00,1.5,7.5,96,24.4,45.6,,
3815,16.08.04,22:00:00,1.3,5.7,84,28.0,34.9,,
767,11.04.04,1:00:00,1.2,4.0,63,11.0,56.6,156.952744,141.44391330000002
4359,08.09.04,8:00:00,-200.0,-200.0,-200,-200.0,-200.0,,
8861,14.03.05,20:00:00,6.5,28.3,227,15.9,47.9,,
6210,24.11.04,23:00:00,4.1,16.8,123,7.7,84.3,,
149,16.03.04,21:00:00,5.1,24.9,177,19.0,41.3,42.43786678,50.43228644
867,15.04.04,20:00:00,6.1,24.2,148,16.8,49.8,157.8099096,163.5689519
4600,18.09.04,7:00:00,1.2,6.4,82,20.0,50.7,,
4615,19.09.04,6:00:00,0.6,2.9,44,18.2,60.8,,
4582,17.09.04,20:00:00,2.2,10.0,110,22.3,42.2,,
431,28.03.04,2:00:00,1.7,6.3,79,9.3,62.2,80.50067417,105.6495749
4223,02.09.04,10:00:00,-200.0,15.8,-200,30.8,34.8,,
965,19.04.04,7:00:00,-200.0,16.5,-200,15.4,64.2,185.9562158,217.911508
4240,03.09.04,23:00:00,1.5,8.1,-200,27.8,40.7,,
359,25.03.04,10:00:00,2.3,8.8,99,9.7,69.7,75.07159451,111.08919070000002
5810,07.11.04,18:00:00,3.2,14.3,84,14.8,37.5,,
7211,05.01.05,2:00:00,1.9,8.1,119,9.1,70.9,,
7768,28.01.05,7:00:00,0.7,1.7,92,4.1,47.4,,
5028,06.10.04,0:00:00,-200.0,6.8,-200,21.7,60.2,,
6406,02.12.04,16:00:00,4.0,19.8,137,18.1,62.1,,
9148,26.03.05,10:00:00,2.3,10.6,115,18.4,60.2,,
1817,25.05.04,0:00:00,0.5,4.3,84,16.7,28.3,,
5842,09.11.04,2:00:00,-200.0,2.9,-200,5.6,67.9,,
4026,25.08.04,1:00:00,1.3,6.3,71,24.9,50.6,,
7090,31.12.04,7:00:00,-200.0,1.1,-200,8.1,47.8,,
5481,25.10.04,5:00:00,0.9,5.9,48,16.2,76.9,,
2359,17.06.04,4:00:00,-200.0,3.3,51,18.8,58.6,,
1668,19.05.04,0:00:00,1.2,7.7,84,19.3,43.0,130.2895503,62.23693993
1092,25.04.04,8:00:00,0.6,1.6,45,14.4,45.9,172.3024763,204.5205893
6745,16.12.04,2:00:00,1.6,-200.0,92,-200.0,-200.0,,
4511,14.09.04,11:00:00,-200.0,15.8,-200,30.1,42.0,,
5422,22.10.04,14:00:00,3.7,22.3,112,26.8,49.1,,
5645,31.10.04,18:00:00,6.6,30.3,106,21.7,66.6,,
3864,18.08.04,18:00:00,1.5,8.9,72,36.4,26.8,,
6906,23.12.04,11:00:00,4.0,15.9,179,6.6,42.5,,
5796,07.11.04,16:00:00,0.9,3.4,50,16.8,32.1,,
7072,30.12.04,14:00:00,-200.0,4.3,-200,11.4,32.8,,
5568,28.10.04,7:00:00,3.4,20.0,88,15.7,76.4,,
9343,04.04.05,3:00:00,0.4,1.1,51,11.3,58.9,,
1846,26.05.04,23:00:00,-200.0,13.3,-200,21.1,30.9,,
7653,23.01.05,16:00:00,-200.0,7.0,180,8.9,49.1,,
4851,28.09.04,17:00:00,4.8,26.8,173,28.0,23.3,,
7631,22.01.05,1:00:00,1.6,14.4,216,7.3,76.7,,
4218,02.09.04,22:00:00,-200.0,10.1,-200,28.1,40.4,,
8968,19.03.05,22:00:00,2.3,7.3,163,13.2,65.6,,
6629,11.12.04,21:00:00,2.9,11.6,138,13.3,38.7,,
9212,29.03.05,14:00:00,2.3,12.0,142,18.6,55.0,,
6250,26.11.04,7:00:00,1.7,8.4,95,9.3,76.9,,
6498,06.12.04,12:00:00,2.5,12.0,119,18.4,52.6,,
1120,26.04.04,10:00:00,1.4,5.4,83,18.3,32.3,182.6072155,200.8753704
5091,08.10.04,8:00:00,4.3,24.8,75,19.5,66.9,,
6200,24.11.04,4:00:00,1.4,5.4,81,10.6,78.8,,
4391,09.09.04,10:00:00,3.1,19.9,171,31.0,21.9,,
9159,27.03.05,13:00:00,1.3,3.8,91,18.1,62.8,,
1244,01.05.04,11:00:00,1.9,9.2,86,24.6,36.7,46.77841948,128.881211
275,22.03.04,23:00:00,1.1,4.3,80,14.5,49.4,41.84646507,59.60786085
248,21.03.04,7:00:00,0.8,3.6,62,14.2,66.2,30.961597899999997,53.24660072
6042,17.11.04,12:00:00,3.2,14.4,187,13.3,42.3,,
1395,07.05.04,18:00:00,4.3,17.4,133,12.7,70.4,43.79807185,159.1176765
2672,30.06.04,5:00:00,0.7,4.6,57,24.6,59.1,,
87,14.03.04,22:00:00,2.1,9.0,121,16.3,51.0,26.11374064,57.90599198
5442,23.10.04,23:00:00,2.6,13.1,84,20.0,69.5,,
6935,24.12.04,9:00:00,6.1,20.4,165,6.1,60.5,,
2307,14.06.04,8:00:00,1.8,8.7,96,21.5,44.5,,
3517,04.08.04,22:00:00,-200.0,5.5,-200,25.4,52.7,,
2686,30.06.04,7:00:00,2.2,15.2,106,27.3,46.4,,
6899,23.12.04,7:00:00,1.8,5.3,115,1.2,61.4,,
8314,20.02.05,9:00:00,0.7,1.6,81,8.8,50.7,,
2323,15.06.04,10:00:00,2.1,11.9,109,28.8,29.1,,
5089,08.10.04,19:00:00,3.1,21.1,101,25.2,49.5,,
