,Unnamed: 0,CO,Benzene,NO2,Temperature,Humidity(%),DateTime
1721,8344,1.6,6.9,157,6.9,71.3,2005-02-21 15:00:00
1722,6325,1.9,7.3,98,16.8,58.7,2004-11-29 20:00:00
1723,1818,1.1,8.8,82,15.2,31.0,2004-05-25 07:00:00
1724,8908,4.2,25.2,161,11.7,54.3,2005-03-16 09:00:00
1726,6111,1.2,6.0,136,6.9,39.4,2004-11-20 07:00:00
1729,7858,1.3,4.8,146,4.2,49.4,2005-02-01 00:00:00
1730,2778,1.6,9.1,103,32.3,19.7,2004-07-04 19:00:00
1732,6696,4.4,27.2,139,7.6,70.6,2004-12-14 09:00:00
1736,6914,6.6,29.0,208,9.4,41.3,2004-12-23 17:00:00
1737,6130,0.3,5.0,106,15.2,18.7,2004-11-21 15:00:00
1740,8431,1.0,4.1,146,5.2,80.7,2005-02-25 06:00:00
1741,5423,3.7,22.0,112,26.4,49.8,2004-10-22 15:00:00
1742,6868,3.9,18.3,175,6.5,41.7,2004-12-21 20:00:00
1743,1803,2.4,13.5,106,22.6,17.2,2004-05-24 18:00:00
1745,8299,2.1,6.8,219,3.1,57.8,2005-02-19 01:00:00
1746,6442,1.7,7.4,66,11.5,81.7,2004-12-04 06:00:00
1748,1963,1.4,12.6,123,28.9,26.0,2004-05-31 11:00:00
1751,2690,2.9,18.0,171,34.2,30.7,2004-06-30 10:00:00
1752,9236,2.0,8.8,147,16.8,58.2,2005-03-30 21:00:00
1756,8292,1.2,3.5,126,11.2,34.5,2005-02-19 13:00:00
1757,9115,3.1,14.0,137,17.7,63.3,2005-03-25 22:00:00
1758,8775,0.8,6.8,165,12.2,50.9,2005-03-11 22:00:00
1759,7866,4.0,14.8,186,8.3,39.5,2005-02-01 20:00:00
1761,8697,0.7,2.8,134,0.9,58.4,2005-03-08 06:00:00
1762,2092,1.9,10.2,92,26.6,47.6,2004-06-05 16:00:00
1765,6349,1.2,3.6,67,15.6,66.6,2004-11-30 00:00:00
1766,7611,3.5,21.8,230,8.9,71.0,2005-01-21 22:00:00
1767,5522,6.2,36.6,134,22.2,61.0,2004-10-26 19:00:00
1768,7811,0.7,1.2,85,3.3,42.3,2005-01-30 09:00:00
1771,4774,1.3,6.7,43,21.1,27.7,2004-09-25 17:00:00
1772,3798,0.3,1.5,23,23.3,41.9,2004-08-16 04:00:00
1773,2720,0.5,2.9,61,25.1,48.0,2004-07-02 05:00:00
1775,4389,2.9,16.2,175,38.4,13.8,2004-09-09 16:00:00
1776,2611,1.4,9.3,75,25.5,47.6,2004-06-27 01:00:00
1777,8237,5.6,24.7,227,6.6,43.4,2005-02-16 20:00:00
1779,2634,1.9,12.3,118,37.5,21.5,2004-06-28 12:00:00
1780,3568,1.7,10.2,104,33.7,33.4,2004-08-06 14:00:00
1781,4396,3.5,21.3,157,25.0,28.9,2004-09-09 09:00:00
1782,8988,1.1,3.5,94,13.2,64.8,2005-03-20 03:00:00
1784,8209,2.4,12.3,181,10.4,23.1,2005-02-15 18:00:00
1785,4826,3.9,17.8,148,22.3,29.2,2004-09-27 18:00:00
1787,4024,1.3,6.3,71,35.3,28.5,2004-08-25 15:00:00
1788,7778,1.5,5.9,176,4.6,49.7,2005-01-28 11:00:00
1789,1344,3.5,16.4,125,17.5,60.8,2004-05-05 15:00:00
1790,3474,1.7,10.7,107,35.6,29.2,2004-08-02 12:00:00
1791,6227,2.1,10.6,127,14.6,46.5,2004-11-25 12:00:00
1792,2996,2.8,14.3,126,31.9,18.3,2004-07-13 17:00:00
1793,6937,6.7,21.5,175,10.2,58.3,2004-12-24 18:00:00
1794,2859,4.1,27.3,136,24.8,38.4,2004-07-07 07:00:00
1798,5829,1.8,10.0,105,13.1,38.5,2004-11-08 14:00:00
1801,5531,1.3,7.0,60,16.0,75.9,2004-10-27 23:00:00
1802,7884,2.5,4.8,121,3.3,66.8,2005-02-02 04:00:00
1803,2711,3.3,18.0,169,34.5,28.5,2004-07-01 18:00:00
1804,7752,2.0,5.5,185,5.9,40.2,2005-01-27 10:00:00
1806,6346,1.1,3.6,86,11.8,80.7,2004-11-30 07:00:00
1807,689,2.1,11.3,96,21.5,27.4,2004-04-08 12:00:00
1808,6116,2.0,11.1,177,6.3,44.8,2004-11-20 08:00:00
1809,2077,1.4,8.0,68,30.7,26.0,2004-06-05 12:00:00
1810,8161,3.3,13.4,155,9.5,82.4,2005-02-13 09:00:00
1811,2364,1.8,9.5,107,31.5,28.7,2004-06-17 15:00:00
1812,3479,2.2,13.7,173,35.5,25.7,2004-08-02 18:00:00
1815,888,6.0,19.9,140,13.8,78.0,2004-04-16 20:00:00
1817,2977,3.1,14.0,119,24.0,36.3,2004-07-12 17:00:00
1818,1315,2.2,12.4,87,21.2,49.3,2004-05-04 11:00:00
1820,4201,4.0,21.5,171,33.3,23.6,2004-09-01 18:00:00
1822,6418,1.5,7.0,96,13.8,85.3,2004-12-03 07:00:00
1823,1105,1.3,3.9,73,12.4,64.1,2004-04-25 01:00:00
1824,4532,3.3,17.3,112,26.9,53.1,2004-09-15 17:00:00
1826,3602,1.9,10.3,95,27.3,49.4,2004-08-07 22:00:00
1828,3668,1.8,10.9,96,38.8,24.7,2004-08-10 18:00:00
1832,2755,1.3,8.8,97,33.9,21.3,2004-07-03 11:00:00
1833,5826,1.8,5.9,133,10.9,50.0,2004-11-08 09:00:00
1834,6369,1.3,3.8,94,10.1,75.3,2004-12-01 01:00:00
1835,5077,1.5,12.3,76,24.6,52.2,2004-10-08 21:00:00
1836,4379,1.2,7.4,98,23.2,30.5,2004-09-09 01:00:00
1838,4743,2.0,5.8,107,15.4,76.6,2004-09-24 20:00:00
1839,6435,6.1,30.7,132,15.0,74.4,2004-12-03 20:00:00
1841,7806,0.4,0.4,49,2.8,43.8,2005-01-30 07:00:00
1842,8390,1.3,3.6,180,2.8,83.9,2005-02-23 11:00:00
1843,2160,3.5,21.4,183,36.6,20.6,2004-06-08 17:00:00
1845,6184,5.0,24.1,185,11.8,72.2,2004-11-23 11:00:00
1847,7602,2.3,18.0,223,12.1,55.3,2005-01-21 18:00:00
1848,5682,4.4,23.6,107,20.6,60.2,2004-11-02 10:00:00
1851,1750,2.6,12.7,85,20.6,50.5,2004-05-22 22:00:00
1852,4707,5.1,26.2,213,28.8,39.0,2004-09-22 18:00:00
1853,1389,2.0,7.7,97,13.4,64.6,2004-05-07 22:00:00
1854,1342,2.9,13.0,123,16.3,68.6,2004-05-05 10:00:00
1855,8659,1.4,3.5,156,6.8,46.9,2005-03-06 22:00:00
1856,8482,1.1,2.5,115,10.0,35.5,2005-02-27 14:00:00
1858,6340,5.9,29.5,139,11.3,75.3,2004-11-29 09:00:00
1860,8889,0.8,3.3,99,7.5,70.9,2005-03-16 06:00:00
1861,6864,3.6,15.5,165,6.9,40.3,2004-12-21 19:00:00
1863,1619,0.5,3.5,75,15.8,36.5,2004-05-17 05:00:00
1864,696,3.6,19.7,138,21.5,24.5,2004-04-08 17:00:00
1865,7232,0.7,2.6,69,12.3,62.7,2005-01-06 07:00:00
1866,8833,1.0,7.7,160,13.5,51.6,2005-03-13 11:00:00
1868,560,0.9,3.5,69,13.9,59.6,2004-04-03 06:00:00
1869,7507,3.1,14.7,177,11.1,32.6,2005-01-17 14:00:00
1870,6317,4.5,16.5,127,10.4,74.6,2004-11-28 20:00:00
1871,5115,3.7,19.9,110,28.7,45.1,2004-10-09 17:00:00
1876,7141,1.2,3.4,88,2.1,73.1,2005-01-02 08:00:00
1877,1338,2.4,11.2,88,17.5,59.2,2004-05-05 16:00:00
1878,4876,5.6,31.0,204,25.3,33.0,2004-09-29 18:00:00
1882,1334,1.6,10.0,72,17.7,56.9,2004-05-05 17:00:00
1883,697,4.3,15.8,136,15.8,39.8,2004-04-08 20:00:00
1884,8291,1.1,3.4,117,12.8,31.9,2005-02-19 16:00:00
1885,5761,4.3,26.4,138,24.2,44.0,2004-11-05 15:00:00
1887,8301,2.3,6.4,210,7.4,43.8,2005-02-19 12:00:00
1892,1115,1.1,3.9,57,14.1,44.9,2004-04-26 00:00:00
1893,873,1.6,6.0,83,12.8,71.9,2004-04-16 02:00:00
1894,2539,1.2,6.9,68,21.9,57.0,2004-06-24 07:00:00
1896,5904,3.9,18.0,178,13.2,68.4,2004-11-11 14:00:00
1897,2424,1.6,10.4,87,24.4,47.4,2004-06-19 00:00:00
1900,1184,0.6,2.8,54,15.9,60.1,2004-04-29 02:00:00
1902,3230,1.5,12.5,121,41.9,15.2,2004-07-23 14:00:00
1906,3203,1.5,11.1,113,42.8,14.3,2004-07-22 14:00:00
1907,1549,2.1,11.4,103,28.4,20.2,2004-05-14 15:00:00
1908,1339,2.1,9.2,79,15.9,70.7,2004-05-05 20:00:00
1909,729,1.5,6.4,88,19.9,26.7,2004-04-10 13:00:00
1910,3877,1.0,5.4,36,39.5,24.3,2004-08-19 15:00:00
1911,7992,1.7,4.6,173,10.7,25.2,2005-02-06 12:00:00
1912,6207,2.9,14.4,129,15.4,59.6,2004-11-24 14:00:00
1914,7633,1.0,15.0,204,14.0,52.0,2005-01-22 12:00:00
1916,9052,4.5,21.9,198,20.1,42.4,2005-03-22 19:00:00
1918,5774,1.8,9.0,76,16.1,71.2,2004-11-06 01:00:00
1919,8674,0.9,1.7,84,5.1,51.2,2005-03-07 02:00:00
1920,9197,3.7,12.4,175,19.6,47.8,2005-03-28 19:00:00
1921,2908,3.2,19.5,136,29.1,34.8,2004-07-09 00:00:00
1922,7909,1.5,6.0,153,3.9,51.6,2005-02-03 01:00:00
1923,8971,1.9,8.5,154,13.5,63.8,2005-03-19 23:00:00
1924,538,1.1,4.3,82,11.4,71.8,2004-04-02 06:00:00
1926,1589,3.3,15.0,149,21.7,31.8,2004-05-15 20:00:00
1928,2849,2.0,11.9,154,38.3,17.0,2004-07-07 11:00:00
1929,8308,2.8,10.4,214,9.1,41.9,2005-02-19 22:00:00
1930,4618,1.2,5.1,70,31.1,26.1,2004-09-19 15:00:00
1931,1906,0.5,4.0,80,18.4,43.9,2004-05-29 07:00:00
1932,3217,4.0,23.0,181,37.1,21.3,2004-07-22 19:00:00
1933,6898,1.9,5.5,113,4.3,46.4,2004-12-23 01:00:00
1936,8488,1.1,3.2,112,1.4,76.3,2005-02-27 07:00:00
1938,2338,1.0,6.8,61,20.6,57.4,2004-06-16 06:00:00
1939,533,6.2,31.9,119,11.9,60.9,2004-04-01 08:00:00
1940,853,2.2,7.3,106,13.9,64.0,2004-04-15 23:00:00
1943,1467,4.4,20.2,117,17.8,51.1,2004-05-10 09:00:00
1944,5963,0.4,0.5,41,10.8,35.4,2004-11-14 10:00:00
1947,5131,1.6,8.1,72,21.2,67.7,2004-10-10 20:00:00
1948,9150,0.8,2.3,68,15.8,65.4,2005-03-27 05:00:00
1950,6329,1.9,8.1,107,18.0,51.9,2004-11-29 17:00:00
1953,6975,0.9,2.5,117,10.4,82.9,2004-12-26 09:00:00
1954,2998,2.6,13.6,128,26.0,28.5,2004-07-13 21:00:00
1955,9190,1.7,6.0,114,14.5,68.9,2005-03-28 23:00:00
1956,2225,2.6,15.2,142,35.4,14.7,2004-06-11 17:00:00
1957,677,2.8,12.9,111,14.3,58.2,2004-04-07 07:00:00
1958,2460,1.2,7.2,76,30.1,18.5,2004-06-21 13:00:00
1959,1748,2.1,11.7,101,28.9,29.3,2004-05-22 16:00:00
1960,6461,3.5,13.7,94,12.6,78.4,2004-12-04 00:00:00
1962,2486,1.7,10.5,96,24.0,39.6,2004-06-22 22:00:00
1963,6785,1.0,5.2,89,10.4,77.3,2004-12-18 06:00:00
1965,7433,2.7,14.5,138,12.2,56.9,2005-01-14 15:00:00
1966,8584,1.7,5.5,151,6.3,72.1,2005-03-03 16:00:00
1967,8011,1.4,5.7,154,12.9,20.6,2005-02-07 12:00:00
1969,3097,1.9,10.3,116,25.0,38.3,2004-07-17 09:00:00
1971,2757,1.1,7.5,67,29.1,29.6,2004-07-03 20:00:00
1972,7425,1.7,6.2,126,8.3,69.7,2005-01-14 22:00:00
1973,3432,2.2,13.0,105,30.1,37.7,2004-07-31 21:00:00
1974,1620,1.2,6.4,81,21.1,26.2,2004-05-17 21:00:00
1975,5127,1.2,5.1,58,24.3,61.6,2004-10-10 10:00:00
1976,7969,2.0,7.0,164,1.5,66.2,2005-02-05 04:00:00
1977,7960,1.2,4.9,162,4.2,43.2,2005-02-05 23:00:00
1978,5883,3.7,17.0,177,10.6,59.3,2004-11-10 19:00:00
1980,3116,1.2,5.5,70,26.3,33.1,2004-07-18 01:00:00
1984,743,2.0,8.8,84,15.0,53.1,2004-04-10 09:00:00
1985,1163,1.1,7.5,69,13.9,60.7,2004-04-28 06:00:00
1987,8598,0.6,1.3,92,4.5,65.1,2005-03-04 04:00:00
1991,3726,0.7,4.0,68,35.2,20.5,2004-08-13 15:00:00
1993,826,0.9,3.9,73,10.9,64.6,2004-04-14 01:00:00
1995,7791,1.0,1.7,83,2.9,49.0,2005-01-29 22:00:00
1997,3582,0.5,2.3,45,23.6,61.2,2004-08-07 05:00:00
1998,6411,7.7,37.6,171,15.8,70.7,2004-12-02 18:00:00
2003,2315,1.2,5.1,79,21.6,46.0,2004-06-15 00:00:00
2004,8998,1.9,5.9,149,13.6,63.5,2005-03-20 01:00:00
2006,8129,3.1,17.6,208,10.0,53.1,2005-02-12 12:00:00
2010,632,0.5,1.5,39,15.0,59.2,2004-04-06 02:00:00
2012,1790,0.7,4.8,73,17.3,25.6,2004-05-24 22:00:00
2013,1552,2.5,13.0,114,27.7,20.8,2004-05-14 13:00:00
2015,8378,3.0,12.9,238,6.5,71.0,2005-02-22 14:00:00
2016,1608,2.3,10.5,95,18.1,40.9,2004-05-16 00:00:00
2017,1354,0.9,3.4,58,12.0,75.0,2004-05-06 01:00:00
2020,5408,0.9,5.8,49,18.7,74.4,2004-10-22 05:00:00
2021,6070,4.6,20.4,220,17.3,53.6,2004-11-18 18:00:00
2024,6237,2.6,14.5,122,11.5,57.3,2004-11-25 20:00:00
2025,3652,2.4,14.7,5,27.7,52.5,2004-08-09 09:00:00
2026,1946,1.1,8.8,95,27.4,23.8,2004-05-30 19:00:00
2027,1539,3.9,21.7,133,19.8,47.9,2004-05-13 19:00:00
2028,5086,2.9,18.6,98,24.9,50.9,2004-10-08 20:00:00
2030,7127,2.5,7.5,129,5.9,50.0,2005-01-01 02:00:00
2031,7140,1.3,3.3,87,3.2,68.3,2005-01-02 04:00:00
2032,6415,1.1,3.8,80,14.0,84.1,2004-12-03 04:00:00
2034,5098,1.3,8.6,62,21.9,61.5,2004-10-09 01:00:00
2035,5177,1.2,6.0,74,17.8,60.6,2004-10-12 06:00:00
2036,9020,2.0,9.2,131,22.8,35.3,2005-03-21 16:00:00
2037,670,2.3,8.6,116,13.6,61.4,2004-04-07 09:00:00
2038,8326,1.1,2.8,112,7.9,66.5,2005-02-20 13:00:00
2039,7549,0.1,2.5,89,5.6,69.5,2005-01-19 07:00:00
2040,4023,1.3,6.2,66,34.4,30.6,2004-08-25 14:00:00
2042,8424,3.1,12.9,267,4.1,82.5,2005-02-24 08:00:00
2043,2830,3.9,21.1,155,34.2,17.9,2004-07-06 19:00:00
2044,3446,0.9,5.3,84,38.5,19.8,2004-08-01 17:00:00
2045,8593,4.2,17.1,211,5.9,50.2,2005-03-03 09:00:00
2046,7748,1.3,4.5,125,7.3,35.0,2005-01-27 15:00:00
2047,6875,1.3,5.0,126,5.3,42.3,2004-12-22 02:00:00
2048,6525,3.0,13.7,123,19.2,47.1,2004-12-07 15:00:00
2049,5653,2.2,12.4,74,23.1,61.3,2004-11-01 10:00:00
2050,6586,0.5,1.4,63,11.5,38.0,2004-12-10 07:00:00
2051,3073,4.1,21.6,187,32.4,21.5,2004-07-16 19:00:00
2053,855,3.1,14.0,129,19.6,34.6,2004-04-15 16:00:00
2054,8688,1.9,6.6,168,6.9,41.3,2005-03-07 09:00:00
2056,3224,0.8,6.0,59,28.0,39.8,2004-07-23 02:00:00
2057,1604,1.6,8.2,89,19.2,35.4,2004-05-16 09:00:00
2058,1474,0.6,3.6,48,12.0,68.0,2004-05-11 05:00:00
2059,3879,1.2,5.7,46,27.7,53.0,2004-08-19 00:00:00
2060,5822,1.2,5.1,103,13.0,40.1,2004-11-08 12:00:00
2061,3756,0.6,2.5,42,25.1,55.3,2004-08-14 02:00:00
2062,5777,2.5,12.0,90,19.5,58.9,2004-11-06 20:00:00
2064,8906,4.8,26.2,227,21.0,28.0,2005-03-16 19:00:00
2065,8461,1.3,3.6,115,3.8,66.2,2005-02-26 05:00:00
2067,3813,1.3,7.0,77,35.2,22.3,2004-08-16 18:00:00
2068,7595,1.3,6.6,117,5.5,66.5,2005-01-21 05:00:00
2071,4614,0.5,2.3,35,19.3,57.0,2004-09-19 05:00:00
2072,6588,0.7,2.7,60,14.7,37.5,2004-12-10 02:00:00
2073,5934,0.8,1.8,59,14.0,55.2,2004-11-13 22:00:00
2074,2493,2.8,14.3,136,27.1,31.7,2004-06-22 10:00:00
2075,6014,2.5,11.1,147,17.3,20.4,2004-11-16 13:00:00
2076,2149,1.2,8.1,67,24.9,41.2,2004-06-08 23:00:00
2077,4167,1.9,11.0,101,33.8,25.8,2004-08-31 15:00:00
2078,8935,0.8,3.3,106,7.2,68.6,2005-03-18 06:00:00
2080,4010,1.4,6.8,65,29.8,43.4,2004-08-24 19:00:00
2081,2481,0.4,1.9,36,22.1,44.3,2004-06-22 02:00:00
2082,2993,1.9,11.0,111,24.3,31.1,2004-07-13 23:00:00
2083,2192,0.9,5.4,76,19.5,59.4,2004-06-10 05:00:00
2084,2170,1.0,7.5,54,22.5,49.0,2004-06-09 01:00:00
2085,4089,0.4,1.7,33,22.5,48.6,2004-08-28 05:00:00
2086,1457,2.2,12.9,104,20.8,40.6,2004-05-10 13:00:00
2089,8961,1.1,2.7,119,11.8,67.9,2005-03-19 02:00:00
2092,8212,3.1,14.2,187,8.9,26.9,2005-02-15 20:00:00
2093,1209,1.2,5.9,74,15.7,78.4,2004-04-30 02:00:00
2095,7835,0.7,1.4,109,3.7,35.2,2005-01-31 07:00:00
2096,8042,1.6,6.9,180,10.5,33.4,2005-02-08 11:00:00
2097,6038,2.3,7.1,145,9.7,62.5,2004-11-17 23:00:00
2098,7394,5.9,23.3,177,12.0,67.5,2005-01-12 21:00:00
2101,1785,0.2,1.0,21,15.8,45.2,2004-05-24 02:00:00
2104,6489,1.1,3.1,71,13.3,65.3,2004-12-06 02:00:00
2105,1458,2.1,11.7,95,20.3,44.1,2004-05-10 11:00:00
2106,7340,2.0,17.0,139,14.1,66.0,2005-01-10 17:00:00
2107,2837,5.1,31.0,145,24.9,43.3,2004-07-06 08:00:00
2108,3622,1.2,5.2,64,27.3,51.3,2004-08-08 09:00:00
2111,2921,0.9,5.3,58,27.2,28.2,2004-07-10 19:00:00
2112,4829,5.5,26.9,132,15.0,57.7,2004-09-27 07:00:00
2115,1839,1.3,9.7,112,31.8,13.8,2004-05-26 16:00:00
2117,2314,0.5,3.0,51,20.8,49.4,2004-06-15 05:00:00
2121,6467,0.9,2.4,68,13.1,62.4,2004-12-05 09:00:00
2123,5784,3.3,17.1,112,20.4,57.0,2004-11-06 12:00:00
2124,1367,3.3,12.4,122,14.4,64.2,2004-05-06 17:00:00
2125,1152,3.0,18.0,107,28.2,20.4,2004-04-27 13:00:00
2126,6391,0.9,2.9,70,12.0,77.4,2004-12-02 04:00:00
2127,7353,0.9,3.3,75,12.0,69.2,2005-01-11 06:00:00
2129,1968,1.6,14.1,121,25.6,33.3,2004-05-31 10:00:00
2130,1297,4.2,23.3,130,24.9,39.4,2004-05-03 18:00:00
2132,2907,2.9,18.1,129,27.0,37.3,2004-07-09 07:00:00
2133,6365,6.8,30.3,168,11.5,68.0,2004-11-30 20:00:00
2136,8356,4.9,20.2,252,5.4,80.9,2005-02-21 19:00:00
2137,9011,1.2,4.9,117,13.8,65.2,2005-03-21 23:00:00
2139,1049,3.3,20.1,142,29.7,20.6,2004-04-23 12:00:00
2142,5413,1.7,9.8,73,20.3,68.1,2004-10-22 23:00:00
2143,6243,4.6,20.1,190,10.0,63.4,2004-11-25 10:00:00
2144,6271,1.7,7.6,99,12.3,81.9,2004-11-27 06:00:00
2145,1258,0.9,5.5,55,16.4,62.2,2004-05-02 02:00:00
2146,7540,5.2,28.0,240,5.5,69.3,2005-01-18 14:00:00
2147,2550,0.6,2.4,64,21.7,50.2,2004-06-25 04:00:00
2148,2468,1.8,10.2,111,27.8,25.8,2004-06-21 10:00:00
2149,1345,3.9,19.4,120,17.3,62.6,2004-05-05 14:00:00
2150,3483,1.9,11.5,124,28.4,50.7,2004-08-02 09:00:00
2151,3744,1.4,5.9,90,25.9,52.9,2004-08-13 23:00:00
2152,5776,1.7,10.9,80,18.4,61.3,2004-11-06 10:00:00
2154,4208,0.7,4.6,90,21.0,56.9,2004-09-02 05:00:00
2156,5441,2.6,14.6,89,20.3,70.5,2004-10-23 22:00:00
2158,2318,2.4,10.9,96,25.3,35.8,2004-06-15 09:00:00
2159,1562,2.5,15.0,107,17.3,57.8,2004-05-14 00:00:00
2161,1659,4.7,25.5,162,25.8,27.0,2004-05-18 19:00:00
2162,2669,5.7,33.5,140,27.1,43.1,2004-06-29 08:00:00
2163,3426,1.3,8.1,92,37.3,24.3,2004-07-31 18:00:00
2164,4862,2.0,13.4,94,14.9,59.2,2004-09-29 07:00:00
2165,5621,4.9,25.3,116,21.2,67.4,2004-10-30 19:00:00
2166,792,1.2,3.6,77,11.4,61.2,2004-04-12 15:00:00
2167,4713,0.8,3.7,49,22.2,63.0,2004-09-23 02:00:00
2169,2246,1.3,8.9,81,21.3,41.8,2004-06-12 08:00:00
2172,2891,1.3,9.6,117,34.2,19.6,2004-07-09 14:00:00
2173,1559,3.3,13.6,138,21.0,37.9,2004-05-14 09:00:00
2174,6991,0.5,1.4,67,12.5,57.3,2004-12-27 06:00:00
2175,8881,4.0,15.6,194,16.4,44.6,2005-03-15 10:00:00
2177,8925,2.2,11.1,189,24.3,24.7,2005-03-17 12:00:00
2180,8713,3.2,13.3,215,8.5,42.4,2005-03-08 21:00:00
2182,7636,1.6,18.5,217,9.2,67.7,2005-01-22 10:00:00
2183,3667,1.6,8.6,62,30.7,48.1,2004-08-10 21:00:00
2185,8837,3.2,16.7,215,15.1,49.8,2005-03-13 19:00:00
2186,1238,1.6,6.5,71,16.5,70.2,2004-05-01 02:00:00
2187,5916,1.2,4.5,92,12.9,69.9,2004-11-12 00:00:00
2189,5697,0.7,4.3,50,16.9,70.5,2004-11-03 06:00:00
2191,2293,1.0,3.8,62,25.6,37.0,2004-06-14 14:00:00
2192,2568,2.6,14.1,100,23.7,46.0,2004-06-25 00:00:00
2193,806,1.6,7.2,84,15.1,42.7,2004-04-13 12:00:00
2195,3670,1.7,9.7,67,32.3,43.6,2004-08-10 20:00:00
2196,1241,2.0,8.3,91,25.5,33.5,2004-05-01 16:00:00
2198,2220,1.3,7.3,97,24.9,27.2,2004-06-11 23:00:00
2201,1225,3.0,18.3,111,16.6,68.2,2004-04-30 07:00:00
2202,5710,3.3,18.7,97,22.4,55.2,2004-11-03 20:00:00
2203,6623,2.4,14.1,134,10.7,34.2,2004-12-11 09:00:00
2204,3248,1.2,4.4,70,28.2,41.9,2004-07-24 20:00:00
2205,6427,3.4,15.5,134,18.8,62.7,2004-12-03 15:00:00
2207,812,1.6,6.9,99,10.0,68.7,2004-04-13 06:00:00
2210,6446,2.0,6.9,109,14.0,75.9,2004-12-04 22:00:00
2211,8660,1.7,5.3,167,11.5,30.1,2005-03-06 17:00:00
2212,9229,1.4,5.8,117,16.0,61.9,2005-03-30 22:00:00
2214,8565,1.4,5.0,153,5.0,39.6,2005-03-02 23:00:00
2216,8810,0.7,6.7,137,14.2,51.5,2005-03-12 11:00:00
2219,7460,3.2,12.3,182,12.3,46.3,2005-01-15 15:00:00
2220,4603,1.4,6.6,78,27.7,28.1,2004-09-18 12:00:00
2221,1461,2.4,13.4,93,20.7,42.4,2004-05-10 12:00:00
2223,7812,1.0,1.8,95,7.9,25.9,2005-01-30 16:00:00
2225,8581,1.0,4.0,108,2.9,67.9,2005-03-03 05:00:00
2226,7998,0.6,0.8,65,3.8,41.0,2005-02-07 04:00:00
2227,7545,1.1,2.4,95,8.8,52.1,2005-01-19 22:00:00
2228,3784,0.5,2.7,33,24.8,55.4,2004-08-15 02:00:00
2229,3625,1.5,7.3,79,29.0,46.1,2004-08-08 20:00:00
2230,5676,1.5,8.7,56,16.1,76.3,2004-11-02 07:00:00
2232,1611,1.8,9.9,106,26.8,33.5,2004-05-16 18:00:00
2233,7451,2.0,6.2,122,4.8,79.4,2005-01-15 02:00:00
2235,3725,2.2,14.1,65,27.5,60.1,2004-08-12 08:00:00
2236,7739,0.2,2.2,83,4.5,42.0,2005-01-27 01:00:00
2237,7953,1.0,3.4,126,9.6,31.1,2005-02-05 16:00:00
2238,8539,0.9,2.7,107,3.3,31.5,2005-03-01 15:00:00
2241,7509,3.1,14.7,186,4.6,52.1,2005-01-17 10:00:00
2242,8126,2.7,11.9,221,7.8,58.0,2005-02-12 10:00:00
2243,4636,4.3,20.7,151,33.2,25.4,2004-09-19 17:00:00
2246,7207,1.6,6.0,126,13.2,62.3,2005-01-05 23:00:00
2247,5153,2.3,12.3,82,20.0,69.6,2004-10-11 11:00:00
2248,4723,2.9,17.2,130,29.0,39.6,2004-09-23 13:00:00
2250,8662,1.5,4.1,158,7.5,43.8,2005-03-06 21:00:00
2251,3429,1.8,10.7,114,31.8,34.5,2004-07-31 20:00:00
2252,1260,1.2,5.9,68,16.0,61.6,2004-05-02 08:00:00
2254,6892,4.1,15.4,174,5.9,37.8,2004-12-22 20:00:00
2256,1753,2.7,15.7,103,24.5,39.4,2004-05-22 19:00:00
2258,8229,2.2,9.5,153,7.4,44.5,2005-02-16 18:00:00
2260,8653,0.7,1.4,87,9.4,39.9,2005-03-06 10:00:00
2261,7662,0.3,0.6,40,6.6,51.3,2005-01-24 05:00:00
2262,7869,3.3,16.7,151,12.7,45.5,2005-02-01 15:00:00
2263,874,2.6,9.9,105,15.3,51.4,2004-04-16 09:00:00
2264,8978,2.7,10.9,153,12.8,64.4,2005-03-19 09:00:00
2266,2130,2.3,15.2,113,34.3,19.4,2004-06-07 16:00:00
2267,1165,1.4,8.6,96,19.6,49.8,2004-04-28 22:00:00
2268,6337,4.2,20.6,120,9.6,80.8,2004-11-29 08:00:00
2269,5708,2.8,15.6,86,20.5,63.0,2004-11-03 22:00:00
2271,8847,0.4,5.2,122,11.7,62.1,2005-03-14 01:00:00
2273,5928,2.4,11.4,126,17.7,55.5,2004-11-12 15:00:00
2274,4858,0.7,4.0,53,15.2,58.3,2004-09-29 06:00:00
2275,7244,1.6,5.9,128,15.6,54.0,2005-01-06 12:00:00
2277,1738,1.2,6.4,68,21.2,48.3,2004-05-22 21:00:00
2278,3279,0.8,3.1,52,31.5,34.5,2004-07-25 15:00:00
2279,2231,2.0,13.1,111,35.9,19.6,2004-06-11 12:00:00
2280,2394,2.9,16.7,164,33.1,24.3,2004-06-18 18:00:00
2282,725,2.3,8.4,95,12.0,67.9,2004-04-09 23:00:00
2285,787,0.6,1.5,57,13.3,53.6,2004-04-12 08:00:00
2288,1681,4.3,21.9,162,26.4,30.1,2004-05-19 18:00:00
2289,5908,5.4,24.1,190,10.2,82.3,2004-11-11 10:00:00
2292,2919,0.5,4.3,56,21.1,53.2,2004-07-10 06:00:00
2293,1051,3.2,18.3,142,23.7,31.0,2004-04-23 10:00:00
2295,3143,2.4,16.2,165,32.4,24.8,2004-07-19 10:00:00
2296,7740,0.2,2.5,74,4.1,42.1,2005-01-27 02:00:00
