,holiday,temperature,rain_1h,snow_1h,clouds_percentage,weather_type,weather_type_details,date_time,population_density,population_density_categorical
12329,None,267.53,0.0,0.0,90,Clouds,overcast clouds,2/18/2014 2:00,269,very low
23572,None,293.29,0.51,0.0,90,Rain,moderate rain,5/23/2016 20:00,2482,low
27982,None,282.97,0.0,0.0,1,Clear,sky is clear,11/10/2016 23:00,1042,very low
22477,None,297.54,0.0,0.0,1,Clear,sky is clear,4/15/2016 16:00,5916,very high
11981,None,264.3,0.0,0.0,90,Clouds,overcast clouds,2/3/2014 14:00,4934,high
25092,None,305.461,0.0,0.0,0,Clear,Sky is Clear,7/20/2016 18:00,4170,medium
34776,None,293.69,0.0,0.0,75,Rain,light rain,6/23/2017 17:00,5267,high
34361,None,299.89,0.0,0.0,1,Clear,sky is clear,6/8/2017 20:00,3162,medium
32853,None,280.62,0.0,0.0,90,Drizzle,light intensity drizzle,4/19/2017 19:00,3189,medium
46668,None,295.75,0.0,0.0,1,Clear,sky is clear,8/13/2018 0:00,651,very low
37788,None,287.88,0.0,0.0,90,Thunderstorm,thunderstorm with light drizzle,10/6/2017 14:00,5395,high
26991,None,283.02,0.0,0.0,0,Clear,Sky is Clear,9/30/2016 6:00,5522,high
32,None,287.1,0.0,0.0,1,Clear,sky is clear,10/3/2012 21:00,2637,low
13562,None,288.27,0.0,0.0,1,Clear,sky is clear,4/10/2014 15:00,6128,very high
141,None,283.48,0.0,0.0,1,Clear,sky is clear,10/8/2012 15:00,5502,high
9607,None,276.5,0.0,0.0,75,Clouds,broken clouds,10/21/2013 17:00,6095,very high
39904,None,277.81,0.0,0.0,90,Clouds,overcast clouds,12/18/2017 20:00,2397,low
47266,None,297.44,0.25,0.0,75,Rain,light rain,8/31/2018 21:00,2910,low
4786,None,279.23,0.0,0.0,1,Clear,sky is clear,4/4/2013 20:00,3105,medium
8921,None,284.89,0.0,0.0,1,Clear,sky is clear,9/13/2013 22:00,2756,low
40513,None,275.22,0.0,0.0,90,Mist,mist,1/10/2018 21:00,2342,low
30854,None,264.51,0.0,0.0,5,Clear,sky is clear,2/7/2017 21:00,2264,low
28693,None,276.62,0.0,0.0,90,Rain,light rain,11/30/2016 13:00,4546,high
25173,None,295.3,9.42,0.0,90,Mist,mist,7/23/2016 12:00,2,very low
45866,None,293.01,0.0,0.0,1,Haze,haze,7/15/2018 5:00,508,very low
26678,None,288.58,0.0,0.0,1,Clear,sky is clear,9/17/2016 3:00,391,very low
21573,None,269.65,0.0,0.0,1,Clear,sky is clear,3/1/2016 17:00,6190,very high
45839,None,290.98,0.0,0.0,1,Mist,mist,7/14/2018 6:00,1422,very low
30197,None,272.82,0.0,0.0,1,Fog,fog,1/18/2017 22:00,1662,low
20807,None,271.55,0.0,0.0,90,Snow,light snow,1/24/2016 13:00,4166,medium
2793,None,273.49,0.0,0.0,90,Clouds,overcast clouds,1/9/2013 18:00,4465,high
34469,None,293.15,0.0,0.0,40,Mist,mist,6/12/2017 9:00,4766,high
29192,None,261.72,0.0,0.0,90,Mist,mist,12/16/2016 18:00,2344,low
2613,None,258.79,0.0,0.0,63,Clouds,broken clouds,1/3/2013 5:00,2383,low
3753,None,258.95,0.0,0.0,1,Clear,sky is clear,2/20/2013 17:00,6153,very high
23444,None,292.37,0.0,0.0,20,Clouds,few clouds,5/18/2016 14:00,5494,high
25932,None,296.44,0.0,0.0,1,Clear,sky is clear,8/22/2016 21:00,2588,low
13167,None,263.7,0.0,0.0,20,Clouds,few clouds,3/25/2014 3:00,346,very low
2499,None,264.56,0.0,0.0,90,Snow,heavy snow,12/29/2012 19:00,2859,low
38397,None,273.86,0.0,0.0,90,Snow,snow,10/27/2017 13:00,5092,high
13359,None,268.55,0.0,0.0,20,Clouds,few clouds,4/2/2014 3:00,366,very low
43742,None,286.42,0.0,0.0,40,Mist,mist,5/2/2018 1:00,324,very low
16099,None,290.14,0.0,0.0,1,Fog,fog,6/29/2015 4:00,894,very low
38634,None,273.72,0.0,0.0,90,Snow,light snow,11/4/2017 1:00,658,very low
19577,None,276.49,0.0,0.0,90,Rain,light rain,11/19/2015 0:00,538,very low
4725,None,264.91,0.0,0.0,1,Clear,sky is clear,4/2/2013 7:00,7009,very high
37541,None,292.68,0.0,0.0,75,Clouds,broken clouds,9/28/2017 13:00,5022,high
41739,None,269.86,0.0,0.0,90,Snow,heavy snow,2/23/2018 0:00,632,very low
45913,None,292.38,0.0,0.0,40,Clouds,scattered clouds,7/17/2018 2:00,274,very low
29117,None,259.82,0.0,0.0,1,Clear,sky is clear,12/14/2016 6:00,5690,high
46230,None,295.58,0.0,0.0,1,Clear,sky is clear,7/28/2018 11:00,4009,medium
19833,None,277.23,0.0,0.0,1,Clear,sky is clear,12/5/2015 10:00,4098,medium
37314,None,293.62,0.0,0.0,75,Clouds,broken clouds,9/20/2017 9:00,5508,high
573,None,290.24,0.0,0.0,90,Haze,haze,10/24/2012 15:00,5661,high
2464,None,265.73,0.0,0.0,90,Mist,mist,12/28/2012 23:00,1646,low
18597,None,287.76,0.0,0.0,1,Mist,mist,9/26/2015 0:00,1371,very low
40068,None,255.07,0.0,0.0,40,Snow,light snow,12/25/2017 8:00,1260,very low
42018,None,277.55,0.0,0.0,90,Clouds,overcast clouds,3/4/2018 0:00,1216,very low
17527,None,288.64,0.76,0.0,90,Drizzle,heavy intensity drizzle,8/19/2015 4:00,912,very low
14659,None,300.82,0.0,0.0,90,Clouds,overcast clouds,5/26/2014 14:00,3743,medium
35250,None,288.82,0.0,0.0,1,Mist,mist,7/11/2017 7:00,6409,very high
3001,None,270.98,0.0,0.0,90,Snow,heavy snow,1/17/2013 15:00,5873,very high
9449,None,277.0,0.0,0.0,0,Clear,Sky is Clear,10/13/2013 4:00,351,very low
2767,None,274.18,0.0,0.0,40,Clouds,scattered clouds,1/8/2013 13:00,4858,high
23986,None,287.51,0.0,0.0,20,Clouds,few clouds,6/6/2016 8:00,5564,high
40478,None,274.51,0.0,0.0,1,Clear,sky is clear,1/10/2018 2:00,270,very low
9355,None,284.01,0.0,0.0,1,Clear,sky is clear,10/8/2013 6:00,5976,very high
36434,None,296.58,0.0,0.0,1,Clear,sky is clear,8/19/2017 13:00,4557,high
37697,None,289.99,0.0,0.0,90,Drizzle,light intensity drizzle,10/3/2017 9:00,5443,high
3812,None,266.37,0.0,0.0,90,Fog,fog,2/23/2013 4:00,387,very low
17083,None,293.6,0.0,0.0,40,Clouds,scattered clouds,8/3/2015 21:00,2465,low
5914,None,287.23,0.0,0.0,90,Rain,light rain,5/10/2013 8:00,5932,very high
40828,None,274.07,0.0,0.0,1,Mist,mist,1/21/2018 4:00,433,very low
31023,None,268.832,0.0,0.0,0,Clear,Sky is Clear,2/14/2017 22:00,3604,medium
12156,None,253.16,0.0,0.0,1,Clear,sky is clear,2/10/2014 21:00,2063,low
10136,None,271.69,0.0,0.0,64,Clouds,broken clouds,11/26/2013 0:00,535,very low
659,None,276.23,0.0,0.0,90,Rain,moderate rain,10/26/2012 8:00,5856,very high
12178,None,261.12,0.0,0.0,90,Clouds,overcast clouds,2/11/2014 19:00,3079,medium
38794,None,267.08,0.0,0.0,5,Clear,sky is clear,11/9/2017 15:00,5794,high
24975,None,289.07,0.0,0.0,0,Clear,Sky is Clear,7/15/2016 21:00,2996,medium
10865,None,264.68,0.0,0.0,64,Snow,light snow,12/22/2013 8:00,1600,low
4544,None,269.78,0.0,0.0,1,Clear,sky is clear,3/26/2013 3:00,318,very low
45113,None,292.08,0.0,0.0,90,Mist,mist,6/19/2018 5:00,3038,medium
23432,None,278.29,0.0,0.0,1,Clear,sky is clear,5/18/2016 2:00,302,very low
21353,None,268.82,0.0,0.0,90,Clouds,overcast clouds,2/17/2016 12:00,4845,high
47895,None,287.84,0.8,0.0,90,Haze,haze,9/20/2018 6:00,5417,high
31253,None,271.87,0.0,0.0,40,Clouds,scattered clouds,2/23/2017 21:00,2716,low
32283,None,276.89,0.0,0.0,1,Clear,sky is clear,4/2/2017 4:00,561,very low
42927,None,262.29,0.0,0.0,1,Snow,light snow,4/4/2018 5:00,2580,low
15507,None,287.14,0.0,0.0,75,Clouds,broken clouds,7/14/2014 22:00,1816,low
41850,None,267.88,0.0,0.0,40,Clouds,scattered clouds,2/25/2018 12:00,3719,medium
43558,None,286.15,0.0,0.0,75,Clouds,broken clouds,4/24/2018 18:00,4513,high
29641,None,269.09,0.0,0.0,5,Clear,sky is clear,12/31/2016 15:00,4475,high
7208,None,299.01,3.81,0.0,0,Thunderstorm,proximity thunderstorm,6/25/2013 14:00,5697,high
47230,None,297.24,0.25,0.0,1,Rain,light rain,8/30/2018 18:00,4531,high
11205,None,270.01,0.0,0.0,64,Snow,light snow,1/3/2014 23:00,1300,very low
33330,None,287.96,0.0,0.0,1,Clear,sky is clear,5/3/2017 11:00,4830,high
42153,None,269.72,0.0,0.0,5,Clear,sky is clear,3/7/2018 18:00,4637,high
46859,None,293.55,0.0,0.0,90,Rain,heavy intensity rain,8/20/2018 8:00,5349,high
46794,None,291.15,0.0,0.0,1,Mist,mist,8/18/2018 2:00,598,very low
29415,None,273.82,0.0,0.0,90,Haze,haze,12/24/2016 7:00,1287,very low
12014,None,256.09,0.0,0.0,90,Clouds,overcast clouds,2/4/2014 23:00,1055,very low
40334,None,253.86,0.0,0.0,90,Clouds,overcast clouds,1/4/2018 2:00,247,very low
47650,None,290.4,0.0,0.0,1,Clear,sky is clear,9/13/2018 7:00,6433,very high
30360,None,274.88,0.0,0.0,90,Fog,fog,1/21/2017 22:00,3699,medium
16756,None,292.15,0.0,0.0,1,Clear,sky is clear,7/21/2015 23:00,1260,very low
35255,None,300.43,0.0,0.0,75,Clouds,broken clouds,7/11/2017 12:00,5096,high
41220,None,262.44,0.0,0.0,90,Snow,light snow,2/3/2018 21:00,2454,low
37580,None,280.37,0.0,0.0,1,Mist,mist,9/30/2017 3:00,401,very low
36100,None,291.72,0.0,0.0,90,Thunderstorm,thunderstorm with rain,8/9/2017 18:00,4627,high
20273,None,266.95,0.0,0.13,90,Mist,mist,12/29/2015 0:00,505,very low
36793,None,291.42,0.0,0.0,1,Clear,sky is clear,8/31/2017 20:00,3450,medium
7951,None,298.19,0.0,0.0,0,Rain,light rain,7/26/2013 14:00,5863,very high
43210,None,273.22,0.0,0.0,90,Fog,fog,4/13/2018 22:00,1773,low
17912,None,298.04,0.0,0.0,1,Clear,sky is clear,9/2/2015 17:00,6210,very high
34406,None,306.68,0.0,0.0,75,Clouds,broken clouds,6/10/2017 17:00,4149,medium
335,None,280.71,0.0,0.0,20,Clouds,few clouds,10/16/2012 10:00,4547,high
28037,None,278.62,0.0,0.0,1,Clear,sky is clear,11/13/2016 6:00,856,very low
42463,None,273.35,0.0,0.0,90,Clouds,overcast clouds,3/20/2018 1:00,337,very low
21428,None,271.72,0.0,0.0,90,Clouds,overcast clouds,2/22/2016 2:00,264,very low
8541,None,299.96,0.0,0.0,24,Clouds,few clouds,8/20/2013 13:00,5295,high
7917,None,287.67,0.0,0.0,0,Clear,Sky is Clear,7/25/2013 3:00,345,very low
40916,None,264.44,0.0,0.0,1,Clear,sky is clear,1/23/2018 23:00,979,very low
6068,None,297.59,0.0,0.0,40,Clouds,scattered clouds,5/16/2013 16:00,6592,very high
28722,None,274.84,0.0,0.0,90,Clouds,overcast clouds,12/1/2016 4:00,852,very low
23767,None,293.72,0.0,0.0,75,Clouds,broken clouds,5/29/2016 11:00,3854,medium
5582,None,295.92,0.0,0.0,1,Clear,sky is clear,4/28/2013 18:00,3909,medium
17905,None,295.55,0.0,0.0,90,Rain,light rain,9/2/2015 11:00,5126,high
31643,None,263.28,0.0,0.0,5,Clear,sky is clear,3/10/2017 20:00,3195,medium
17640,None,295.09,5.04,0.0,90,Rain,heavy intensity rain,8/22/2015 20:00,2373,low
20170,None,271.82,0.0,0.0,90,Clouds,overcast clouds,12/23/2015 22:00,2069,low
34357,None,300.55,0.0,0.0,1,Clear,sky is clear,6/8/2017 16:00,6500,very high
35000,None,293.59,0.0,0.0,75,Clouds,broken clouds,7/1/2017 11:00,4037,medium
26556,None,298.71,0.0,0.0,90,Clouds,overcast clouds,9/12/2016 14:00,4876,high
8146,None,290.18,0.0,0.0,0,Clear,Sky is Clear,8/3/2013 1:00,890,very low
15230,None,297.41,0.0,0.0,75,Clouds,broken clouds,7/4/2014 15:00,3148,medium
13392,None,274.51,0.25,0.0,90,Rain,light rain,4/3/2014 13:00,5083,high
20356,None,271.77,0.0,0.0,1,Clear,sky is clear,1/1/2016 13:00,3498,medium
13883,None,279.16,0.25,0.0,90,Rain,light rain,4/24/2014 0:00,556,very low
18724,None,279.87,0.0,0.0,1,Clear,sky is clear,10/2/2015 2:00,381,very low
20414,None,266.26,0.0,0.0,90,Clouds,overcast clouds,1/4/2016 22:00,1389,very low
46597,None,301.75,0.0,0.0,5,Clear,sky is clear,8/10/2018 13:00,5053,high
1106,None,282.05,0.0,0.0,90,Mist,mist,11/11/2012 11:00,4086,medium
20690,None,256.15,0.0,0.0,75,Clouds,broken clouds,1/18/2016 16:00,4883,high
6315,None,281.91,0.0,0.0,90,Mist,mist,5/23/2013 1:00,381,very low
32579,None,283.02,0.0,0.0,40,Clouds,scattered clouds,4/11/2017 16:00,6410,very high
33392,None,285.69,0.0,0.0,1,Clear,sky is clear,5/6/2017 1:00,1314,very low
6789,None,284.88,0.0,0.0,68,Clouds,broken clouds,6/8/2013 3:00,414,very low
17079,None,297.99,0.0,0.0,40,Clouds,scattered clouds,8/3/2015 17:00,5864,very high
21656,None,281.8,0.0,0.0,1,Clear,sky is clear,3/7/2016 9:00,4675,high
35287,None,300.1,0.0,0.0,75,Clouds,broken clouds,7/12/2017 18:00,4473,high
16818,None,292.97,1.09,0.0,75,Thunderstorm,thunderstorm with rain,7/24/2015 7:00,5700,high
42991,None,266.49,0.0,0.0,1,Clear,sky is clear,4/6/2018 18:00,4863,high
29614,None,268.01,0.0,0.0,75,Clouds,broken clouds,12/30/2016 12:00,5072,high
3851,None,266.8,0.0,0.0,90,Mist,mist,2/24/2013 7:00,996,very low
13448,None,279.6,0.0,0.0,75,Clouds,broken clouds,4/5/2014 21:00,4046,medium
46049,None,293.01,0.0,0.0,5,Clear,sky is clear,7/21/2018 9:00,3883,medium
24242,None,291.76,0.0,0.0,0,Clear,Sky is Clear,6/17/2016 0:00,844,very low
32697,None,286.69,0.0,0.0,90,Rain,light rain,4/15/2017 2:00,542,very low
13900,None,279.51,0.64,0.0,90,Rain,light rain,4/24/2014 17:00,6747,very high
19354,None,278.73,0.0,0.0,1,Clear,sky is clear,11/6/2015 19:00,3515,medium
16443,None,301.62,0.0,0.0,75,Clouds,broken clouds,7/10/2015 14:00,5435,high
8401,None,290.57,0.0,0.0,76,Clouds,broken clouds,8/13/2013 23:00,1236,very low
47973,None,279.32,0.0,0.0,1,Clear,sky is clear,9/22/2018 0:00,1516,low
23614,None,292.62,0.0,0.0,90,Clouds,overcast clouds,5/25/2016 8:00,5879,very high
38098,None,284.89,0.0,0.0,1,Clear,sky is clear,10/17/2017 0:00,1044,very low
25026,None,288.394,0.0,0.0,44,Clouds,scattered clouds,7/18/2016 0:00,732,very low
21701,None,274.42,0.0,0.0,90,Clouds,overcast clouds,3/10/2016 10:00,4489,high
15255,None,301.42,0.0,0.0,12,Clouds,few clouds,7/5/2014 19:00,2856,low
43325,None,270.62,0.0,0.0,90,Snow,snow,4/15/2018 17:00,1849,low
32433,None,279.4,0.0,0.0,1,Clear,sky is clear,4/6/2017 21:00,3126,medium
47179,None,288.8,0.25,0.0,90,Rain,light rain,8/28/2018 22:00,1733,low
10927,None,260.37,0.0,0.0,64,Fog,fog,12/24/2013 19:00,1657,low
44783,None,292.43,0.0,0.0,90,Rain,light rain,6/8/2018 9:00,5011,high
24522,None,294.03,0.0,0.0,40,Clouds,scattered clouds,6/28/2016 13:00,4433,high
19625,None,265.77,0.0,0.0,40,Clouds,scattered clouds,11/22/2015 6:00,775,very low
9881,None,282.13,0.0,0.0,1,Clear,sky is clear,11/15/2013 17:00,6125,very high
32333,None,282.55,0.0,0.0,90,Mist,mist,4/3/2017 11:00,4234,medium
3218,None,272.55,0.0,0.0,90,Rain,light rain,1/28/2013 20:00,2460,low
36246,None,291.15,0.0,0.0,90,Rain,moderate rain,8/14/2017 10:00,4246,medium
22759,None,284.99,1.91,0.0,90,Thunderstorm,thunderstorm with heavy rain,4/24/2016 21:00,2269,low
4558,None,276.0,0.0,0.0,1,Clear,sky is clear,3/26/2013 17:00,5831,very high
14025,None,286.77,0.0,0.0,48,Clouds,scattered clouds,5/4/2014 18:00,4534,high
16815,None,293.11,2.91,0.0,90,Thunderstorm,proximity thunderstorm,7/24/2015 6:00,4879,high
8610,None,298.61,0.0,0.0,36,Clouds,scattered clouds,8/23/2013 12:00,5925,very high
36748,None,292.3,0.0,0.0,40,Clouds,scattered clouds,8/29/2017 23:00,1223,very low
4899,None,279.11,0.0,0.0,75,Rain,moderate rain,4/8/2013 22:00,1454,very low
32465,None,280.52,0.0,0.0,1,Clear,sky is clear,4/8/2017 6:00,1463,low
11040,None,270.68,0.0,0.0,64,Fog,fog,12/28/2013 10:00,3135,medium
8038,None,283.76,0.0,0.0,0,Clear,Sky is Clear,7/30/2013 5:00,2856,low
22049,None,280.81,0.0,0.0,90,Rain,light rain,3/26/2016 17:00,4418,high
41393,None,256.36,0.0,0.0,1,Clear,sky is clear,2/10/2018 5:00,688,very low
2102,None,274.52,0.0,0.0,90,Snow,heavy snow,12/16/2012 19:00,2597,low
25577,None,290.51,0.0,0.0,0,Clear,Sky is Clear,8/8/2016 7:00,5738,high
4950,None,277.16,0.0,0.0,90,Clouds,overcast clouds,4/10/2013 1:00,320,very low
26882,None,288.3,0.0,0.0,80,Clouds,broken clouds,9/25/2016 19:00,3520,medium
5445,None,273.61,0.0,0.0,90,Fog,fog,4/23/2013 19:00,3181,medium
22471,None,287.97,0.0,0.0,1,Clear,sky is clear,4/15/2016 9:00,5278,high
21554,None,270.16,0.0,0.0,90,Clouds,overcast clouds,2/29/2016 8:00,5772,high
2233,None,270.17,0.0,0.0,90,Haze,haze,12/20/2012 8:00,5444,high
36259,None,290.65,0.0,0.0,1,Fog,fog,8/14/2017 23:00,1045,very low
8043,None,292.55,0.0,0.0,20,Clouds,few clouds,7/30/2013 10:00,4578,high
18702,None,279.62,0.0,0.0,1,Clear,sky is clear,10/1/2015 0:00,544,very low
40417,None,269.88,0.0,0.0,75,Clouds,broken clouds,1/7/2018 13:00,4065,medium
10756,None,264.11,0.0,0.0,64,Clouds,broken clouds,12/17/2013 19:00,3296,medium
37528,None,282.65,0.0,0.0,1,Clear,sky is clear,9/28/2017 0:00,605,very low
4631,None,278.77,0.0,0.0,1,Clear,sky is clear,3/29/2013 19:00,3461,medium
39940,None,265.36,0.0,0.0,90,Clouds,overcast clouds,12/20/2017 8:00,5694,high
39998,None,269.36,0.0,0.0,1,Clear,sky is clear,12/22/2017 15:00,5510,high
12151,None,258.38,0.0,0.0,1,Clear,sky is clear,2/10/2014 16:00,6347,very high
32618,None,281.84,0.0,0.0,90,Mist,mist,4/12/2017 22:00,2042,low
254,None,283.64,0.0,0.0,1,Clear,sky is clear,10/13/2012 18:00,4221,medium
36315,None,295.69,0.0,0.0,90,Clouds,overcast clouds,8/16/2017 14:00,5304,high
5109,None,271.32,0.0,0.0,90,Mist,mist,4/14/2013 3:00,350,very low
27082,None,287.93,0.0,0.0,12,Clouds,few clouds,10/4/2016 1:00,671,very low
45349,None,294.35,0.0,0.0,90,Drizzle,light intensity drizzle,6/26/2018 16:00,6765,very high
6377,None,282.84,0.0,0.0,1,Clear,sky is clear,5/25/2013 0:00,1030,very low
23203,None,282.42,0.38,0.0,90,Drizzle,drizzle,5/10/2016 9:00,5420,high
10334,None,274.5,0.0,0.0,64,Mist,mist,12/3/2013 5:00,2839,low
5003,None,276.29,0.0,0.0,90,Haze,haze,4/11/2013 17:00,5029,high
33961,None,287.65,0.0,0.0,90,Rain,proximity shower rain,5/23/2017 15:00,5762,high
22999,None,281.15,0.0,0.0,1,Clear,sky is clear,5/3/2016 5:00,2878,low
14990,None,287.53,0.25,0.0,44,Rain,light rain,6/7/2014 17:00,4771,high
43296,None,268.08,0.0,0.0,90,Fog,fog,4/15/2018 4:00,175,very low
38887,None,270.36,0.0,0.0,75,Mist,mist,11/13/2017 8:00,6117,very high
13106,None,266.12,0.0,0.0,20,Clouds,few clouds,3/22/2014 14:00,4717,high
45775,None,296.37,0.0,0.0,40,Rain,light rain,7/12/2018 20:00,2727,low
43425,None,269.35,0.0,0.0,1,Clear,sky is clear,4/19/2018 5:00,2885,low
13820,None,291.24,0.0,0.0,40,Clouds,scattered clouds,4/21/2014 11:00,4645,high
23511,None,290.82,0.0,0.0,1,Clear,sky is clear,5/21/2016 9:00,3897,medium
38601,None,275.37,0.0,0.0,90,Clouds,overcast clouds,11/3/2017 0:00,768,very low
22863,None,275.78,1.86,0.0,90,Snow,light snow,4/28/2016 10:00,4655,high
19627,None,267.86,0.0,0.0,40,Clouds,scattered clouds,11/22/2015 10:00,3541,medium
32658,None,282.08,0.0,0.0,75,Clouds,broken clouds,4/14/2017 8:00,5150,high
21900,None,274.37,0.0,0.0,90,Rain,moderate rain,3/18/2016 18:00,4836,high
17127,None,299.82,0.0,0.0,1,Clear,sky is clear,8/5/2015 16:00,6501,very high
24386,None,290.38,0.0,0.0,12,Rain,light rain,6/23/2016 0:00,1348,very low
24560,None,288.38,0.0,0.0,1,Mist,mist,6/30/2016 3:00,363,very low
6654,None,284.6,0.0,0.0,1,Clear,sky is clear,6/4/2013 0:00,602,very low
36517,None,296.08,0.0,0.0,75,Clouds,broken clouds,8/22/2017 14:00,5094,high
17004,None,299.84,0.0,0.0,1,Clear,sky is clear,7/31/2015 14:00,5750,high
3736,None,264.7,0.0,0.0,90,Clouds,overcast clouds,2/19/2013 17:00,5936,very high
45518,None,297.35,0.0,0.0,1,Clear,sky is clear,7/3/2018 0:00,722,very low
42846,None,273.72,0.0,0.0,1,Clear,sky is clear,4/2/2018 12:00,4947,high
38327,None,281.15,0.0,0.0,1,Clear,sky is clear,10/26/2017 1:00,378,very low
10481,None,248.12,0.0,0.0,75,Clouds,broken clouds,12/7/2013 7:00,2003,low
29893,None,267.22,0.0,0.0,90,Snow,snow,1/9/2017 14:00,4068,medium
38082,None,275.35,0.0,0.0,5,Mist,mist,10/16/2017 8:00,5887,very high
45703,None,291.42,0.0,0.0,1,Fog,fog,7/10/2018 3:00,364,very low
12041,None,250.86,0.0,0.0,1,Clear,sky is clear,2/6/2014 2:00,245,very low
12672,None,259.77,0.0,0.0,90,Clouds,overcast clouds,3/4/2014 6:00,5417,high
35036,None,287.49,0.0,0.0,1,Mist,mist,7/3/2017 3:00,428,very low
31692,None,266.09,0.0,0.0,90,Mist,mist,3/12/2017 18:00,2823,low
2036,None,276.06,0.0,0.0,90,Clouds,overcast clouds,12/16/2012 0:00,1098,very low
12983,None,270.2,0.25,0.0,90,Rain,light rain,3/17/2014 11:00,3716,medium
29165,None,257.29,0.0,0.0,90,Snow,light snow,12/16/2016 0:00,651,very low
46798,None,290.01,0.0,0.0,1,Fog,fog,8/18/2018 4:00,523,very low
36212,None,293.86,0.0,0.0,75,Drizzle,drizzle,8/13/2017 13:00,4254,medium
13536,None,288.63,0.0,0.0,75,Clouds,broken clouds,4/9/2014 13:00,5065,high
30306,None,275.01,0.0,0.0,90,Fog,fog,1/21/2017 1:00,657,very low
1521,None,264.21,0.0,0.0,20,Clouds,few clouds,11/28/2012 1:00,342,very low
19905,None,271.86,0.0,0.0,1,Mist,mist,12/9/2015 8:00,6067,very high
11399,None,269.34,0.0,0.0,64,Clouds,broken clouds,1/12/2014 4:00,261,very low
17654,None,287.2,0.3,0.0,1,Rain,light rain,8/23/2015 3:00,355,very low
46433,None,296.15,0.0,0.0,90,Clouds,overcast clouds,8/4/2018 16:00,4300,medium
22772,None,284.71,0.0,0.0,90,Mist,mist,4/25/2016 2:00,264,very low
423,None,281.93,0.0,0.0,92,Mist,mist,10/19/2012 14:00,5620,high
31707,None,265.42,0.0,0.0,90,Mist,mist,3/13/2017 2:00,282,very low
38238,None,281.75,0.0,0.0,90,Clouds,overcast clouds,10/22/2017 8:00,1984,low
40237,None,248.31,0.0,0.0,1,Clear,sky is clear,12/31/2017 6:00,808,very low
36354,None,291.94,0.0,0.0,90,Mist,mist,8/17/2017 8:00,5990,very high
29901,None,267.58,0.0,0.0,90,Mist,mist,1/9/2017 17:00,4569,high
13408,None,269.96,0.25,0.0,90,Rain,light rain,4/4/2014 5:00,2085,low
26000,None,292.03,0.0,0.0,90,Clouds,overcast clouds,8/24/2016 22:00,1865,low
43665,None,276.8,0.0,0.0,1,Clear,sky is clear,4/29/2018 5:00,427,very low
40744,None,269.86,0.0,0.0,5,Clear,sky is clear,1/17/2018 19:00,3080,medium
5933,None,278.51,0.0,0.0,90,Clouds,overcast clouds,5/11/2013 2:00,495,very low
8676,None,303.82,0.0,0.0,0,Clear,Sky is Clear,8/26/2013 20:00,3321,medium
47580,None,292.46,0.0,0.0,1,Clear,sky is clear,9/10/2018 11:00,4498,high
3505,None,270.82,0.0,0.0,90,Snow,heavy snow,2/11/2013 8:00,5032,high
48002,None,283.56,0.0,0.0,1,Clear,sky is clear,9/23/2018 5:00,514,very low
40087,None,251.15,0.0,0.0,1,Clear,sky is clear,12/26/2017 3:00,261,very low
17826,None,289.41,0.25,0.0,90,Rain,light rain,8/30/2015 5:00,547,very low
47920,None,290.97,5.42,0.0,90,Mist,mist,9/20/2018 16:00,6331,very high
16240,None,289.73,0.0,0.0,1,Haze,haze,7/4/2015 5:00,736,very low
3212,None,272.85,0.0,0.0,90,Snow,heavy snow,1/28/2013 14:00,4799,high
7751,None,296.91,0.0,0.0,64,Clouds,broken clouds,7/18/2013 2:00,314,very low
1003,None,276.29,0.0,0.0,90,Clouds,overcast clouds,11/8/2012 5:00,2681,low
20472,None,273.35,0.0,0.0,90,Snow,light snow,1/7/2016 11:00,4517,high
15961,None,300.99,0.0,0.0,1,Clear,sky is clear,8/7/2014 16:00,6731,very high
10791,None,264.36,0.0,0.0,64,Clouds,broken clouds,12/19/2013 8:00,5768,high
31716,None,263.28,0.0,0.0,1,Snow,light snow,3/13/2017 7:00,5439,high
23162,None,287.25,0.51,0.0,90,Rain,light rain,5/9/2016 15:00,5333,high
21355,None,271.15,0.0,0.0,90,Clouds,overcast clouds,2/17/2016 15:00,5826,very high
30835,None,269.84,0.0,0.0,90,Snow,light snow,2/7/2017 8:00,5059,high
10766,None,261.7,0.0,0.0,64,Clouds,broken clouds,12/18/2013 5:00,2760,low
32814,None,286.74,0.0,0.0,75,Drizzle,light intensity drizzle,4/18/2017 12:00,5009,high
43030,None,265.94,0.0,0.0,90,Clouds,overcast clouds,4/8/2018 9:00,2736,low
42526,None,275.58,0.0,0.0,90,Clouds,overcast clouds,3/21/2018 17:00,6310,very high
869,None,276.29,0.0,0.0,75,Clouds,broken clouds,11/3/2012 16:00,4413,high
31412,None,274.53,0.0,0.0,90,Snow,light snow,3/1/2017 17:00,6466,very high
35788,None,293.08,0.0,0.0,1,Clear,sky is clear,7/29/2017 23:00,2484,low
38801,None,262.35,0.0,0.0,1,Clear,sky is clear,11/9/2017 22:00,2838,low
10452,None,252.89,0.0,0.0,1,Clear,sky is clear,12/6/2013 2:00,305,very low
5945,None,288.72,0.0,0.0,1,Clear,sky is clear,5/11/2013 14:00,3391,medium
40340,None,252.14,0.0,0.0,90,Clouds,overcast clouds,1/4/2018 8:00,4478,high
13238,None,272.39,0.0,0.0,90,Clouds,overcast clouds,3/28/2014 2:00,286,very low
